iter	Passed	Remaining
0	2	259
1	5	251
2	7	231
3	8	208
4	11	211
5	13	208
6	15	203
7	17	200
8	19	196
9	21	190
10	22	182
11	24	179
12	26	178
13	28	176
14	30	171
15	32	168
16	34	167
17	36	167
18	39	167
19	41	165
20	42	160
21	44	156
22	45	152
23	47	149
24	49	147
25	50	144
26	52	142
27	54	141
28	56	138
29	57	134
30	59	131
31	60	129
32	62	126
33	63	123
34	64	120
35	65	117
36	66	113
37	68	111
38	69	109
39	71	106
40	73	105
41	73	101
42	74	99
43	76	96
44	77	94
45	78	92
46	79	90
47	81	88
48	83	86
49	84	84
50	86	82
51	87	80
52	89	79
53	91	77
54	92	75
55	94	74
56	95	72
57	96	70
58	98	68
59	99	66
60	101	64
61	103	63
62	104	61
63	106	59
64	107	58
65	109	56
66	110	54
67	111	52
68	113	51
69	114	49
70	116	47
71	117	45
72	119	44
73	120	42
74	122	40
75	123	38
76	124	37
77	125	35
78	126	33
79	128	32
80	129	30
81	130	28
82	132	27
83	133	25
84	135	23
85	136	22
86	138	20
87	139	18
88	140	17
89	141	15
90	143	14
91	144	12
92	145	10
93	146	9
94	148	7
95	149	6
96	151	4
97	152	3
98	153	1
99	155	0
